Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,season_end_year,season
1.0,Jayson Tatum,24.0,BOS,SF,74.0,74.0,2732.0,727.0,1559.0,0.466,240.0,686.0,0.35,487.0,873.0,0.558,0.543,531.0,622.0,0.854,78.0,571.0,649.0,342.0,78.0,51.0,213.0,160.0,2225.0,1.0,"MVP-4,CPOY-10,AS,NBA1",2023,2022-23
2.0,Joel Embiid,28.0,PHI,C,66.0,66.0,2284.0,728.0,1328.0,0.548,66.0,200.0,0.33,662.0,1128.0,0.587,0.573,661.0,771.0,0.857,113.0,557.0,670.0,274.0,66.0,112.0,226.0,205.0,2183.0,1.0,"MVP-1,DPOY-9,CPOY-5,AS,NBA1",2023,2022-23
3.0,Luka Dončić,23.0,DAL,PG,66.0,66.0,2391.0,719.0,1449.0,0.496,185.0,541.0,0.342,534.0,908.0,0.588,0.56,515.0,694.0,0.742,54.0,515.0,569.0,529.0,90.0,33.0,236.0,166.0,2138.0,10.0,"MVP-8,CPOY-8,AS,NBA1",2023,2022-23
4.0,Shai Gilgeous-Alexander,24.0,OKC,PG,68.0,68.0,2416.0,704.0,1381.0,0.51,58.0,168.0,0.345,646.0,1213.0,0.533,0.531,669.0,739.0,0.905,59.0,270.0,329.0,371.0,112.0,65.0,192.0,192.0,2135.0,0.0,"MVP-5,CPOY-7,AS,NBA1",2023,2022-23
5.0,Giannis Antetokounmpo,28.0,MIL,PF,63.0,63.0,2024.0,707.0,1278.0,0.553,47.0,171.0,0.275,660.0,1107.0,0.596,0.572,498.0,772.0,0.645,137.0,605.0,742.0,359.0,52.0,51.0,246.0,197.0,1959.0,6.0,"MVP-3,DPOY-6,AS,NBA1",2023,2022-23
6.0,Anthony Edwards,21.0,MIN,SG,79.0,79.0,2842.0,707.0,1541.0,0.459,213.0,578.0,0.369,494.0,963.0,0.513,0.528,319.0,422.0,0.756,47.0,411.0,458.0,350.0,125.0,58.0,259.0,186.0,1946.0,0.0,AS,2023,2022-23
7.0,Julius Randle,28.0,NYK,PF,77.0,77.0,2737.0,658.0,1432.0,0.459,218.0,636.0,0.343,440.0,796.0,0.553,0.536,402.0,531.0,0.757,141.0,626.0,767.0,316.0,49.0,21.0,216.0,233.0,1936.0,0.0,"CPOY-14,AS,NBA3",2023,2022-23
8.0,Donovan Mitchell,26.0,CLE,SG,68.0,68.0,2432.0,679.0,1402.0,0.484,245.0,635.0,0.386,434.0,767.0,0.566,0.572,319.0,368.0,0.867,63.0,226.0,289.0,301.0,99.0,27.0,180.0,168.0,1922.0,0.0,"MVP-6,CPOY-6,AS,NBA2",2023,2022-23
9.0,Trae Young,24.0,ATL,PG,73.0,73.0,2541.0,597.0,1390.0,0.429,154.0,460.0,0.335,443.0,930.0,0.476,0.485,566.0,639.0,0.886,56.0,161.0,217.0,741.0,80.0,9.0,300.0,104.0,1914.0,0.0,,2023,2022-23
10.0,Zach LaVine,27.0,CHI,SG,77.0,77.0,2768.0,673.0,1388.0,0.485,204.0,544.0,0.375,469.0,844.0,0.556,0.558,363.0,428.0,0.848,42.0,303.0,345.0,327.0,69.0,18.0,194.0,159.0,1913.0,0.0,,2023,2022-23
