Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,season_end_year,season
1.0,Trae Young,23.0,ATL,PG,76.0,76.0,2652.0,711.0,1544.0,0.46,233.0,610.0,0.382,478.0,934.0,0.512,0.536,500.0,553.0,0.904,50.0,234.0,284.0,737.0,72.0,7.0,303.0,128.0,2155.0,0.0,"AS,NBA3",2022,2021-22
2.0,DeMar DeRozan,32.0,CHI,PF,76.0,76.0,2743.0,774.0,1535.0,0.504,50.0,142.0,0.352,724.0,1393.0,0.52,0.521,520.0,593.0,0.877,56.0,336.0,392.0,374.0,68.0,24.0,181.0,178.0,2118.0,0.0,"MVP-10,AS,NBA2",2022,2021-22
3.0,Joel Embiid,27.0,PHI,C,68.0,68.0,2297.0,666.0,1334.0,0.499,93.0,251.0,0.371,573.0,1083.0,0.529,0.534,654.0,803.0,0.814,146.0,650.0,796.0,284.0,77.0,99.0,214.0,181.0,2079.0,2.0,"MVP-2,AS,NBA2",2022,2021-22
4.0,Jayson Tatum,23.0,BOS,SF,76.0,76.0,2731.0,708.0,1564.0,0.453,230.0,651.0,0.353,478.0,913.0,0.524,0.526,400.0,469.0,0.853,85.0,524.0,609.0,334.0,75.0,49.0,217.0,174.0,2046.0,0.0,"MVP-6,AS,NBA1",2022,2021-22
5.0,Nikola Jokić,26.0,DEN,C,74.0,74.0,2476.0,764.0,1311.0,0.583,97.0,288.0,0.337,667.0,1023.0,0.652,0.62,379.0,468.0,0.81,206.0,813.0,1019.0,584.0,109.0,63.0,281.0,191.0,2004.0,19.0,"MVP-1,AS,NBA1",2022,2021-22
6.0,Giannis Antetokounmpo,27.0,MIL,PF,67.0,67.0,2204.0,689.0,1245.0,0.553,71.0,242.0,0.293,618.0,1003.0,0.616,0.582,553.0,766.0,0.722,134.0,644.0,778.0,388.0,72.0,91.0,219.0,212.0,2002.0,4.0,"MVP-3,DPOY-6,AS,NBA1,DEF1",2022,2021-22
7.0,Luka Dončić,22.0,DAL,PG,65.0,65.0,2301.0,641.0,1403.0,0.457,201.0,569.0,0.353,440.0,834.0,0.528,0.529,364.0,489.0,0.744,56.0,537.0,593.0,568.0,75.0,36.0,292.0,145.0,1847.0,10.0,"MVP-5,AS,NBA1",2022,2021-22
8.0,Devin Booker,25.0,PHO,SG,68.0,68.0,2345.0,662.0,1421.0,0.466,183.0,478.0,0.383,479.0,943.0,0.508,0.53,315.0,363.0,0.868,45.0,297.0,342.0,329.0,77.0,26.0,162.0,180.0,1822.0,0.0,"MVP-4,AS,NBA1",2022,2021-22
9.0,Karl-Anthony Towns,26.0,MIN,C,74.0,74.0,2476.0,642.0,1214.0,0.529,150.0,366.0,0.41,492.0,848.0,0.58,0.591,384.0,467.0,0.822,194.0,533.0,727.0,269.0,72.0,83.0,226.0,267.0,1818.0,1.0,"AS,NBA3",2022,2021-22
10.0,Donovan Mitchell,25.0,UTA,SG,67.0,67.0,2266.0,617.0,1376.0,0.448,232.0,654.0,0.355,385.0,722.0,0.533,0.533,267.0,313.0,0.853,55.0,227.0,282.0,358.0,99.0,12.0,200.0,164.0,1733.0,0.0,AS,2022,2021-22
11.0,LeBron James,37.0,LAL,C,56.0,56.0,2084.0,640.0,1221.0,0.524,161.0,448.0,0.359,479.0,773.0,0.62,0.59,254.0,336.0,0.756,63.0,396.0,459.0,349.0,73.0,59.0,196.0,121.0,1695.0,6.0,"MVP-10,AS,NBA3",2022,2021-22
12.0,Kevin Durant,33.0,BRK,PF,55.0,55.0,2047.0,578.0,1115.0,0.518,115.0,300.0,0.383,463.0,815.0,0.568,0.57,372.0,409.0,0.91,29.0,378.0,407.0,351.0,48.0,52.0,191.0,113.0,1643.0,4.0,"MVP-10,AS,NBA2",2022,2021-22
13.0,Zach LaVine,26.0,CHI,SG,67.0,67.0,2328.0,565.0,1186.0,0.476,185.0,475.0,0.389,380.0,711.0,0.534,0.554,320.0,375.0,0.853,22.0,286.0,308.0,303.0,41.0,23.0,171.0,120.0,1635.0,0.0,AS,2022,2021-22
14.0,Stephen Curry,33.0,GSW,PG,64.0,64.0,2211.0,535.0,1224.0,0.437,285.0,750.0,0.38,250.0,474.0,0.527,0.554,275.0,298.0,0.923,34.0,301.0,335.0,404.0,85.0,23.0,206.0,130.0,1630.0,2.0,"MVP-8,AS,NBA2",2022,2021-22
15.0,Miles Bridges,23.0,CHO,PF,80.0,80.0,2837.0,596.0,1214.0,0.491,154.0,465.0,0.331,442.0,749.0,0.59,0.554,267.0,333.0,0.802,90.0,469.0,559.0,300.0,74.0,67.0,150.0,193.0,1613.0,0.0,,2022,2021-22
16.0,Ja Morant,22.0,MEM,PG,57.0,57.0,1889.0,580.0,1177.0,0.493,88.0,256.0,0.344,492.0,921.0,0.534,0.53,316.0,415.0,0.761,77.0,248.0,325.0,384.0,66.0,22.0,196.0,86.0,1564.0,1.0,"MVP-7,MIP-1,AS,NBA2",2022,2021-22
17.0,Jaylen Brown,25.0,BOS,SF,66.0,66.0,2220.0,576.0,1217.0,0.473,166.0,464.0,0.358,410.0,753.0,0.544,0.541,241.0,318.0,0.758,53.0,351.0,404.0,231.0,70.0,18.0,178.0,163.0,1559.0,2.0,,2022,2021-22
18.0,Pascal Siakam,27.0,TOR,PF,68.0,68.0,2578.0,596.0,1207.0,0.494,75.0,218.0,0.344,521.0,989.0,0.527,0.525,284.0,379.0,0.749,128.0,452.0,580.0,360.0,85.0,42.0,181.0,225.0,1551.0,2.0,NBA3,2022,2021-22
19.0,Anthony Edwards,20.0,MIN,SG,72.0,72.0,2466.0,549.0,1245.0,0.441,215.0,602.0,0.357,334.0,643.0,0.519,0.527,220.0,280.0,0.786,62.0,281.0,343.0,275.0,105.0,46.0,190.0,164.0,1533.0,0.0,,2022,2021-22
20.0,LaMelo Ball,20.0,CHO,PG,75.0,75.0,2422.0,538.0,1254.0,0.429,220.0,565.0,0.389,318.0,689.0,0.462,0.517,212.0,243.0,0.872,108.0,393.0,501.0,571.0,119.0,30.0,245.0,237.0,1508.0,5.0,AS,2022,2021-22
21.0,Darius Garland,22.0,CLE,PG,68.0,68.0,2430.0,542.0,1173.0,0.462,174.0,454.0,0.383,368.0,719.0,0.512,0.536,215.0,241.0,0.892,39.0,185.0,224.0,583.0,89.0,7.0,248.0,115.0,1473.0,1.0,AS,2022,2021-22
22.0,Julius Randle,27.0,NYK,PF,72.0,72.0,2544.0,512.0,1246.0,0.411,120.0,390.0,0.308,392.0,856.0,0.458,0.459,303.0,401.0,0.756,125.0,591.0,716.0,370.0,53.0,39.0,245.0,205.0,1447.0,1.0,,2022,2021-22
23.0,Russell Westbrook,33.0,LAL,PG,78.0,78.0,2678.0,548.0,1233.0,0.444,79.0,265.0,0.298,469.0,968.0,0.485,0.476,266.0,399.0,0.667,110.0,470.0,580.0,550.0,75.0,20.0,295.0,235.0,1441.0,10.0,,2022,2021-22
24.0,Dejounte Murray,25.0,SAS,PG,68.0,68.0,2366.0,573.0,1241.0,0.462,96.0,294.0,0.327,477.0,947.0,0.504,0.5,196.0,247.0,0.794,80.0,483.0,563.0,627.0,138.0,23.0,180.0,138.0,1438.0,13.0,AS,2022,2021-22
25.0,James Harden,32.0,2TM,PG,65.0,65.0,2419.0,407.0,992.0,0.41,148.0,448.0,0.33,259.0,544.0,0.476,0.485,470.0,536.0,0.877,55.0,445.0,500.0,667.0,82.0,36.0,284.0,153.0,1432.0,11.0,AS,2022,2021-22
25.0,James Harden,32.0,BRK,PG,44.0,44.0,1627.0,292.0,706.0,0.414,102.0,307.0,0.332,190.0,399.0,0.476,0.486,304.0,350.0,0.869,42.0,309.0,351.0,447.0,56.0,31.0,212.0,105.0,990.0,9.0,,2022,2021-22
25.0,James Harden,32.0,PHI,PG,21.0,21.0,792.0,115.0,286.0,0.402,46.0,141.0,0.326,69.0,145.0,0.476,0.483,166.0,186.0,0.892,13.0,136.0,149.0,220.0,26.0,5.0,72.0,48.0,442.0,2.0,,2022,2021-22
26.0,Terry Rozier,27.0,CHO,SG,73.0,73.0,2458.0,518.0,1167.0,0.444,222.0,593.0,0.374,296.0,574.0,0.516,0.539,150.0,176.0,0.852,56.0,259.0,315.0,326.0,93.0,25.0,96.0,119.0,1408.0,1.0,,2022,2021-22
27.0,Jordan Poole,22.0,GSW,SG,76.0,51.0,2283.0,474.0,1058.0,0.448,211.0,580.0,0.364,263.0,478.0,0.55,0.548,246.0,266.0,0.925,34.0,226.0,260.0,304.0,60.0,23.0,187.0,206.0,1405.0,0.0,,2022,2021-22
28.0,RJ Barrett,21.0,NYK,SF,70.0,70.0,2417.0,487.0,1194.0,0.408,138.0,404.0,0.342,349.0,790.0,0.442,0.466,290.0,406.0,0.714,66.0,342.0,408.0,208.0,43.0,16.0,151.0,142.0,1402.0,0.0,,2022,2021-22
29.0,Desmond Bane,23.0,MEM,SG,76.0,76.0,2266.0,508.0,1101.0,0.461,228.0,523.0,0.436,280.0,578.0,0.484,0.565,140.0,155.0,0.903,46.0,288.0,334.0,208.0,92.0,29.0,111.0,196.0,1384.0,0.0,,2022,2021-22
