Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,season_end_year,season
14.0,Giannis Antetokounmpo,22.0,MIL,SF,80.0,80.0,2845.0,656.0,1259.0,0.521,49.0,180.0,0.272,607.0,1079.0,0.563,0.541,471.0,612.0,0.77,142.0,558.0,700.0,434.0,131.0,151.0,234.0,246.0,1832.0,3.0,"MVP-7,MIP-1,AS,NBA2,DEF2",2017,2016-17
15.0,Kemba Walker,26.0,CHO,PG,79.0,79.0,2739.0,643.0,1449.0,0.444,240.0,602.0,0.399,403.0,847.0,0.476,0.527,304.0,359.0,0.847,45.0,263.0,308.0,434.0,85.0,22.0,168.0,119.0,1830.0,0.0,AS,2017,2016-17
16.0,Jimmy Butler,27.0,CHI,SF,76.0,75.0,2809.0,570.0,1252.0,0.455,91.0,248.0,0.367,479.0,1004.0,0.477,0.492,585.0,676.0,0.865,129.0,341.0,470.0,417.0,143.0,32.0,159.0,112.0,1816.0,2.0,"AS,NBA3",2017,2016-17
17.0,Kyrie Irving,24.0,CLE,PG,72.0,72.0,2525.0,671.0,1420.0,0.473,177.0,441.0,0.401,494.0,979.0,0.505,0.535,297.0,328.0,0.905,52.0,178.0,230.0,418.0,83.0,24.0,180.0,157.0,1816.0,0.0,AS,2017,2016-17
18.0,John Wall,26.0,WAS,PG,78.0,78.0,2836.0,647.0,1435.0,0.451,89.0,272.0,0.327,558.0,1163.0,0.48,0.482,422.0,527.0,0.801,59.0,267.0,326.0,831.0,157.0,49.0,322.0,151.0,1805.0,0.0,"MVP-7,AS,NBA3",2017,2016-17
19.0,Bradley Beal,23.0,WAS,SG,77.0,77.0,2684.0,637.0,1322.0,0.482,223.0,552.0,0.404,414.0,770.0,0.538,0.566,282.0,342.0,0.825,53.0,187.0,240.0,267.0,83.0,21.0,156.0,169.0,1779.0,0.0,,2017,2016-17
20.0,Paul George,26.0,IND,SF,75.0,75.0,2689.0,622.0,1348.0,0.461,195.0,496.0,0.393,427.0,852.0,0.501,0.534,336.0,374.0,0.898,58.0,434.0,492.0,251.0,119.0,27.0,220.0,206.0,1775.0,0.0,AS,2017,2016-17
21.0,Klay Thompson,26.0,GSW,SG,78.0,78.0,2649.0,644.0,1376.0,0.468,268.0,647.0,0.414,376.0,729.0,0.516,0.565,186.0,218.0,0.853,49.0,236.0,285.0,160.0,66.0,40.0,128.0,139.0,1742.0,0.0,AS,2017,2016-17
22.0,Devin Booker,20.0,PHO,SG,78.0,78.0,2730.0,606.0,1431.0,0.423,147.0,405.0,0.363,459.0,1026.0,0.447,0.475,367.0,441.0,0.832,46.0,203.0,249.0,268.0,72.0,21.0,241.0,242.0,1726.0,0.0,,2017,2016-17
23.0,Carmelo Anthony,32.0,NYK,SF,74.0,74.0,2538.0,602.0,1389.0,0.433,151.0,421.0,0.359,451.0,968.0,0.466,0.488,304.0,365.0,0.833,62.0,376.0,438.0,213.0,60.0,34.0,153.0,198.0,1659.0,0.0,AS,2017,2016-17
24.0,Gordon Hayward,26.0,UTA,SF,73.0,73.0,2516.0,545.0,1156.0,0.471,149.0,374.0,0.398,396.0,782.0,0.506,0.536,362.0,429.0,0.844,49.0,345.0,394.0,252.0,73.0,20.0,140.0,117.0,1601.0,0.0,AS,2017,2016-17
25.0,Kevin Durant,28.0,GSW,PF,62.0,62.0,2070.0,551.0,1026.0,0.537,117.0,312.0,0.375,434.0,714.0,0.608,0.594,336.0,384.0,0.875,39.0,474.0,513.0,300.0,66.0,99.0,138.0,117.0,1555.0,1.0,"MVP-9,AS,NBA2",2017,2016-17
26.0,Brook Lopez,28.0,BRK,C,75.0,75.0,2222.0,555.0,1172.0,0.474,134.0,387.0,0.346,421.0,785.0,0.536,0.531,295.0,364.0,0.81,121.0,282.0,403.0,176.0,38.0,124.0,184.0,192.0,1539.0,0.0,,2017,2016-17
27.0,Harrison Barnes,24.0,DAL,PF,79.0,79.0,2803.0,599.0,1280.0,0.468,78.0,222.0,0.351,521.0,1058.0,0.492,0.498,242.0,281.0,0.861,93.0,301.0,394.0,116.0,65.0,15.0,102.0,128.0,1518.0,0.0,,2017,2016-17
28.0,Goran Dragić,30.0,MIA,PG,73.0,73.0,2459.0,534.0,1124.0,0.475,117.0,289.0,0.405,417.0,835.0,0.499,0.527,298.0,377.0,0.79,62.0,217.0,279.0,423.0,89.0,13.0,212.0,199.0,1483.0,0.0,,2017,2016-17
29.0,Marc Gasol,32.0,MEM,C,74.0,74.0,2531.0,532.0,1160.0,0.459,104.0,268.0,0.388,428.0,892.0,0.48,0.503,278.0,332.0,0.837,60.0,404.0,464.0,338.0,67.0,99.0,166.0,171.0,1446.0,2.0,AS,2017,2016-17
30.0,Lou Williams,30.0,2TM,SG,81.0,1.0,1994.0,428.0,998.0,0.429,163.0,446.0,0.365,265.0,552.0,0.48,0.511,402.0,457.0,0.88,26.0,176.0,202.0,239.0,80.0,20.0,160.0,92.0,1421.0,0.0,6MOY-3,2017,2016-17
30.0,Lou Williams,30.0,LAL,SG,58.0,1.0,1403.0,326.0,734.0,0.444,122.0,317.0,0.385,204.0,417.0,0.489,0.527,304.0,344.0,0.884,14.0,118.0,132.0,183.0,65.0,11.0,120.0,67.0,1078.0,0.0,,2017,2016-17
30.0,Lou Williams,30.0,HOU,SG,23.0,0.0,591.0,102.0,264.0,0.386,41.0,129.0,0.318,61.0,135.0,0.452,0.464,98.0,113.0,0.867,12.0,58.0,70.0,56.0,15.0,9.0,40.0,25.0,343.0,0.0,,2017,2016-17
31.0,Mike Conley,29.0,MEM,PG,69.0,68.0,2292.0,464.0,1009.0,0.46,171.0,419.0,0.408,293.0,590.0,0.497,0.545,316.0,368.0,0.859,31.0,210.0,241.0,433.0,92.0,19.0,156.0,126.0,1415.0,0.0,,2017,2016-17
32.0,Dennis Schröder,23.0,ATL,PG,79.0,78.0,2485.0,548.0,1214.0,0.451,100.0,294.0,0.34,448.0,920.0,0.487,0.493,218.0,255.0,0.855,42.0,206.0,248.0,499.0,74.0,16.0,258.0,149.0,1414.0,0.0,,2017,2016-17
33.0,Eric Bledsoe,27.0,PHO,PG,66.0,66.0,2176.0,449.0,1034.0,0.434,104.0,310.0,0.335,345.0,724.0,0.477,0.485,388.0,458.0,0.847,52.0,268.0,320.0,418.0,91.0,31.0,224.0,164.0,1390.0,1.0,,2017,2016-17
34.0,Kyle Lowry,30.0,TOR,PG,60.0,60.0,2244.0,426.0,918.0,0.464,193.0,468.0,0.412,233.0,450.0,0.518,0.569,299.0,365.0,0.819,48.0,238.0,286.0,417.0,88.0,19.0,173.0,170.0,1344.0,1.0,AS,2017,2016-17
35.0,Tobias Harris,24.0,DET,PF,82.0,48.0,2567.0,511.0,1063.0,0.481,109.0,314.0,0.347,402.0,749.0,0.537,0.532,190.0,226.0,0.841,63.0,353.0,416.0,142.0,60.0,39.0,96.0,133.0,1321.0,0.0,,2017,2016-17
36.0,Blake Griffin,27.0,LAC,PF,61.0,61.0,2076.0,479.0,971.0,0.493,38.0,113.0,0.336,441.0,858.0,0.514,0.513,320.0,421.0,0.76,112.0,385.0,497.0,300.0,57.0,22.0,142.0,157.0,1316.0,1.0,,2017,2016-17
37.0,Hassan Whiteside,27.0,MIA,C,77.0,77.0,2513.0,542.0,973.0,0.557,0.0,0.0,,542.0,973.0,0.557,0.557,225.0,358.0,0.628,293.0,795.0,1088.0,57.0,57.0,161.0,154.0,226.0,1309.0,0.0,DPOY-5,2017,2016-17
38.0,Jeff Teague,28.0,IND,PG,82.0,82.0,2657.0,402.0,909.0,0.442,90.0,252.0,0.357,312.0,657.0,0.475,0.492,360.0,415.0,0.867,33.0,297.0,330.0,639.0,100.0,32.0,216.0,165.0,1254.0,0.0,,2017,2016-17
39.0,Paul Millsap,31.0,ATL,PF,69.0,67.0,2343.0,430.0,972.0,0.442,75.0,241.0,0.311,355.0,731.0,0.486,0.481,311.0,405.0,0.768,111.0,422.0,533.0,252.0,90.0,62.0,158.0,186.0,1246.0,0.0,AS,2017,2016-17
40.0,LaMarcus Aldridge,31.0,SAS,PF,72.0,72.0,2335.0,500.0,1049.0,0.477,23.0,56.0,0.411,477.0,993.0,0.48,0.488,220.0,271.0,0.812,172.0,351.0,523.0,139.0,46.0,88.0,98.0,158.0,1243.0,0.0,DPOY-8,2017,2016-17
41.0,Nikola Jokić,21.0,DEN,C,73.0,59.0,2038.0,494.0,854.0,0.578,45.0,139.0,0.324,449.0,715.0,0.628,0.605,188.0,228.0,0.825,212.0,506.0,718.0,359.0,61.0,55.0,171.0,214.0,1221.0,6.0,,2017,2016-17
42.0,Eric Gordon,28.0,HOU,SG,75.0,15.0,2323.0,412.0,1016.0,0.406,246.0,661.0,0.372,166.0,355.0,0.468,0.527,147.0,175.0,0.84,29.0,172.0,201.0,188.0,48.0,41.0,121.0,150.0,1217.0,0.0,6MOY-1,2017,2016-17
43.0,Jordan Clarkson,24.0,LAL,SG,82.0,19.0,2397.0,477.0,1071.0,0.445,117.0,356.0,0.329,360.0,715.0,0.503,0.5,134.0,168.0,0.798,49.0,197.0,246.0,213.0,88.0,8.0,164.0,150.0,1205.0,0.0,,2017,2016-17
44.0,Kristaps Porziņģis,21.0,NYK,PF,66.0,65.0,2164.0,443.0,985.0,0.45,112.0,314.0,0.357,331.0,671.0,0.493,0.507,198.0,252.0,0.786,111.0,364.0,475.0,97.0,47.0,129.0,118.0,244.0,1196.0,0.0,,2017,2016-17
45.0,JJ Redick,32.0,LAC,SG,78.0,78.0,2198.0,396.0,890.0,0.445,201.0,468.0,0.429,195.0,422.0,0.462,0.558,180.0,202.0,0.891,11.0,160.0,171.0,110.0,54.0,13.0,98.0,125.0,1173.0,0.0,,2017,2016-17
46.0,Myles Turner,20.0,IND,C,81.0,81.0,2541.0,444.0,869.0,0.511,40.0,115.0,0.348,404.0,754.0,0.536,0.534,245.0,303.0,0.809,139.0,450.0,589.0,106.0,74.0,172.0,105.0,262.0,1173.0,0.0,,2017,2016-17
47.0,Serge Ibaka,27.0,2TM,PF,79.0,79.0,2422.0,471.0,982.0,0.48,124.0,317.0,0.391,347.0,665.0,0.522,0.543,107.0,125.0,0.856,129.0,409.0,538.0,75.0,41.0,124.0,105.0,215.0,1173.0,0.0,,2017,2016-17
47.0,Serge Ibaka,27.0,ORL,PF,56.0,56.0,1710.0,343.0,703.0,0.488,83.0,214.0,0.388,260.0,489.0,0.532,0.547,77.0,91.0,0.846,100.0,282.0,382.0,60.0,34.0,91.0,66.0,139.0,846.0,0.0,,2017,2016-17
47.0,Serge Ibaka,27.0,TOR,PF,23.0,23.0,712.0,128.0,279.0,0.459,41.0,103.0,0.398,87.0,176.0,0.494,0.532,30.0,34.0,0.882,29.0,127.0,156.0,15.0,7.0,33.0,39.0,76.0,327.0,0.0,,2017,2016-17
48.0,Evan Fournier,24.0,ORL,SG,68.0,66.0,2234.0,408.0,930.0,0.439,128.0,360.0,0.356,280.0,570.0,0.491,0.508,223.0,277.0,0.805,44.0,165.0,209.0,202.0,66.0,4.0,141.0,180.0,1167.0,0.0,,2017,2016-17
49.0,Nicolas Batum,28.0,CHO,SG,77.0,77.0,2617.0,393.0,975.0,0.403,135.0,405.0,0.333,258.0,570.0,0.453,0.472,243.0,284.0,0.856,46.0,435.0,481.0,456.0,86.0,29.0,194.0,109.0,1164.0,1.0,,2017,2016-17
50.0,Derrick Rose,28.0,NYK,PG,64.0,64.0,2082.0,460.0,977.0,0.471,13.0,60.0,0.217,447.0,917.0,0.487,0.477,221.0,253.0,0.874,66.0,180.0,246.0,283.0,44.0,17.0,147.0,84.0,1154.0,0.0,,2017,2016-17
51.0,Danilo Gallinari,28.0,DEN,SF,63.0,63.0,2134.0,335.0,750.0,0.447,126.0,324.0,0.389,209.0,426.0,0.491,0.531,349.0,387.0,0.902,39.0,286.0,325.0,135.0,40.0,15.0,82.0,93.0,1145.0,0.0,,2017,2016-17
52.0,Tim Hardaway Jr.,24.0,ATL,SG,79.0,30.0,2154.0,415.0,912.0,0.455,149.0,417.0,0.357,266.0,495.0,0.537,0.537,164.0,214.0,0.766,35.0,189.0,224.0,182.0,55.0,15.0,106.0,103.0,1143.0,0.0,6MOY-10,2017,2016-17
53.0,Kevin Love,28.0,CLE,PF,60.0,60.0,1885.0,370.0,867.0,0.427,145.0,389.0,0.373,225.0,478.0,0.471,0.51,257.0,295.0,0.871,148.0,518.0,666.0,116.0,53.0,21.0,122.0,125.0,1142.0,0.0,AS,2017,2016-17
54.0,Rudy Gobert,24.0,UTA,C,81.0,81.0,2744.0,413.0,625.0,0.661,0.0,1.0,0.0,413.0,624.0,0.662,0.661,311.0,476.0,0.653,314.0,721.0,1035.0,97.0,49.0,214.0,147.0,246.0,1137.0,0.0,"DPOY-2,NBA2,DEF1",2017,2016-17
55.0,Wilson Chandler,29.0,DEN,SF,71.0,33.0,2197.0,433.0,939.0,0.461,110.0,326.0,0.337,323.0,613.0,0.527,0.52,141.0,194.0,0.727,103.0,357.0,460.0,141.0,51.0,30.0,114.0,172.0,1117.0,0.0,,2017,2016-17
56.0,Bojan Bogdanović,27.0,2TM,SF,81.0,54.0,2083.0,376.0,845.0,0.445,144.0,392.0,0.367,232.0,453.0,0.512,0.53,217.0,243.0,0.893,37.0,240.0,277.0,111.0,34.0,7.0,131.0,146.0,1113.0,0.0,,2017,2016-17
56.0,Bojan Bogdanović,27.0,BRK,SF,55.0,54.0,1482.0,269.0,611.0,0.44,99.0,277.0,0.357,170.0,334.0,0.509,0.521,146.0,167.0,0.874,23.0,174.0,197.0,90.0,24.0,3.0,93.0,99.0,783.0,0.0,,2017,2016-17
56.0,Bojan Bogdanović,27.0,WAS,SF,26.0,0.0,601.0,107.0,234.0,0.457,45.0,115.0,0.391,62.0,119.0,0.521,0.553,71.0,76.0,0.934,14.0,66.0,80.0,21.0,10.0,4.0,38.0,47.0,330.0,0.0,,2017,2016-17
57.0,Andre Drummond,23.0,DET,C,81.0,81.0,2409.0,483.0,911.0,0.53,2.0,7.0,0.286,481.0,904.0,0.532,0.531,137.0,355.0,0.386,345.0,770.0,1115.0,90.0,124.0,89.0,152.0,237.0,1105.0,0.0,,2017,2016-17
58.0,Marcus Morris,27.0,DET,SF,79.0,79.0,2565.0,421.0,1007.0,0.418,118.0,357.0,0.331,303.0,650.0,0.466,0.477,145.0,185.0,0.784,77.0,289.0,366.0,160.0,52.0,25.0,87.0,168.0,1105.0,0.0,,2017,2016-17
59.0,Chris Paul,31.0,LAC,PG,61.0,61.0,1921.0,374.0,785.0,0.476,124.0,302.0,0.411,250.0,483.0,0.518,0.555,232.0,260.0,0.892,40.0,264.0,304.0,563.0,119.0,8.0,147.0,146.0,1104.0,1.0,DEF1,2017,2016-17
60.0,Nikola Vučević,26.0,ORL,C,75.0,55.0,2163.0,483.0,1031.0,0.468,23.0,75.0,0.307,460.0,956.0,0.481,0.48,107.0,160.0,0.669,176.0,603.0,779.0,208.0,76.0,74.0,117.0,180.0,1096.0,0.0,,2017,2016-17
61.0,Dwyane Wade,35.0,CHI,SG,60.0,59.0,1792.0,414.0,955.0,0.434,45.0,145.0,0.31,369.0,810.0,0.456,0.457,223.0,281.0,0.794,63.0,207.0,270.0,228.0,86.0,41.0,138.0,112.0,1096.0,0.0,,2017,2016-17
62.0,Otto Porter Jr.,23.0,WAS,SF,80.0,80.0,2605.0,414.0,803.0,0.516,148.0,341.0,0.434,266.0,462.0,0.576,0.608,99.0,119.0,0.832,118.0,396.0,514.0,121.0,116.0,42.0,44.0,193.0,1075.0,0.0,,2017,2016-17
63.0,Ersan İlyasova,29.0,3TM,PF,82.0,52.0,2142.0,384.0,890.0,0.431,142.0,402.0,0.353,242.0,488.0,0.496,0.511,161.0,207.0,0.778,115.0,366.0,481.0,141.0,58.0,23.0,116.0,211.0,1071.0,0.0,,2017,2016-17
63.0,Ersan İlyasova,29.0,OKC,PF,3.0,0.0,62.0,6.0,16.0,0.375,3.0,12.0,0.25,3.0,4.0,0.75,0.469,0.0,0.0,,2.0,14.0,16.0,1.0,3.0,1.0,4.0,5.0,15.0,0.0,,2017,2016-17
63.0,Ersan İlyasova,29.0,PHI,PF,53.0,40.0,1447.0,285.0,648.0,0.44,107.0,298.0,0.359,178.0,350.0,0.509,0.522,109.0,142.0,0.768,71.0,243.0,314.0,97.0,33.0,14.0,78.0,133.0,786.0,0.0,,2017,2016-17
63.0,Ersan İlyasova,29.0,ATL,PF,26.0,12.0,633.0,93.0,226.0,0.412,32.0,92.0,0.348,61.0,134.0,0.455,0.482,52.0,65.0,0.8,42.0,109.0,151.0,43.0,22.0,8.0,34.0,73.0,270.0,0.0,,2017,2016-17
64.0,Victor Oladipo,24.0,OKC,SG,67.0,67.0,2222.0,412.0,932.0,0.442,127.0,352.0,0.361,285.0,580.0,0.491,0.51,116.0,154.0,0.753,39.0,252.0,291.0,176.0,78.0,21.0,119.0,155.0,1067.0,0.0,,2017,2016-17
65.0,Markieff Morris,27.0,WAS,PF,76.0,76.0,2374.0,406.0,889.0,0.457,71.0,196.0,0.362,335.0,693.0,0.483,0.497,180.0,215.0,0.837,107.0,386.0,493.0,126.0,82.0,42.0,129.0,254.0,1063.0,0.0,,2017,2016-17
66.0,Kentavious Caldwell-Pope,23.0,DET,SG,76.0,75.0,2529.0,370.0,928.0,0.399,153.0,437.0,0.35,217.0,491.0,0.442,0.481,154.0,185.0,0.832,55.0,193.0,248.0,193.0,89.0,12.0,86.0,118.0,1047.0,0.0,,2017,2016-17
67.0,Elfrid Payton,22.0,ORL,PG,82.0,58.0,2412.0,430.0,912.0,0.471,40.0,146.0,0.274,390.0,766.0,0.509,0.493,146.0,211.0,0.692,89.0,298.0,387.0,529.0,88.0,40.0,178.0,177.0,1046.0,5.0,,2017,2016-17
68.0,Dario Šarić,22.0,PHI,PF,81.0,36.0,2129.0,381.0,927.0,0.411,106.0,341.0,0.311,275.0,586.0,0.469,0.468,172.0,220.0,0.782,112.0,401.0,513.0,182.0,57.0,30.0,183.0,162.0,1040.0,0.0,ROY-2,2017,2016-17
69.0,Enes Freedom,24.0,OKC,C,72.0,0.0,1533.0,402.0,737.0,0.545,5.0,38.0,0.132,397.0,699.0,0.568,0.549,224.0,285.0,0.786,195.0,287.0,482.0,67.0,32.0,38.0,123.0,154.0,1033.0,0.0,6MOY-8,2017,2016-17
70.0,Jrue Holiday,26.0,NOP,PG,67.0,61.0,2190.0,405.0,893.0,0.454,100.0,281.0,0.356,305.0,612.0,0.498,0.51,119.0,168.0,0.708,46.0,218.0,264.0,488.0,100.0,44.0,194.0,133.0,1029.0,0.0,,2017,2016-17
71.0,DeAndre Jordan,28.0,LAC,C,81.0,81.0,2570.0,412.0,577.0,0.714,0.0,2.0,0.0,412.0,575.0,0.717,0.714,205.0,425.0,0.482,298.0,816.0,1114.0,96.0,51.0,134.0,115.0,212.0,1029.0,0.0,"AS,NBA3",2017,2016-17
72.0,Zach Randolph,35.0,MEM,PF,73.0,5.0,1786.0,433.0,964.0,0.449,21.0,94.0,0.223,412.0,870.0,0.474,0.46,141.0,193.0,0.731,182.0,416.0,598.0,122.0,38.0,10.0,99.0,136.0,1028.0,0.0,6MOY-4,2017,2016-17
73.0,Jabari Parker,21.0,MIL,PF,51.0,50.0,1728.0,399.0,814.0,0.49,65.0,178.0,0.365,334.0,636.0,0.525,0.53,162.0,218.0,0.743,79.0,235.0,314.0,142.0,50.0,22.0,93.0,111.0,1025.0,0.0,,2017,2016-17
74.0,Aaron Gordon,21.0,ORL,SF,80.0,72.0,2298.0,393.0,865.0,0.454,77.0,267.0,0.288,316.0,598.0,0.528,0.499,156.0,217.0,0.719,116.0,289.0,405.0,150.0,65.0,40.0,89.0,172.0,1019.0,0.0,,2017,2016-17
75.0,Jamal Crawford,36.0,LAC,SG,82.0,1.0,2157.0,359.0,870.0,0.413,116.0,322.0,0.36,243.0,548.0,0.443,0.479,174.0,203.0,0.857,17.0,112.0,129.0,214.0,61.0,14.0,134.0,115.0,1008.0,0.0,6MOY-7,2017,2016-17
76.0,Dwight Howard,31.0,ATL,C,74.0,74.0,2199.0,388.0,613.0,0.633,0.0,2.0,0.0,388.0,611.0,0.635,0.633,226.0,424.0,0.533,296.0,644.0,940.0,104.0,64.0,92.0,170.0,203.0,1002.0,0.0,,2017,2016-17
77.0,Tyler Johnson,24.0,MIA,PG,73.0,0.0,2178.0,357.0,824.0,0.433,93.0,250.0,0.372,264.0,574.0,0.46,0.49,195.0,254.0,0.768,50.0,243.0,293.0,233.0,84.0,44.0,90.0,176.0,1002.0,0.0,6MOY-11,2017,2016-17
78.0,Jae Crowder,26.0,BOS,SF,72.0,72.0,2335.0,333.0,720.0,0.463,157.0,394.0,0.398,176.0,326.0,0.54,0.572,176.0,217.0,0.811,48.0,367.0,415.0,155.0,73.0,23.0,80.0,161.0,999.0,0.0,,2017,2016-17
79.0,Wesley Matthews,30.0,DAL,SG,73.0,73.0,2495.0,333.0,847.0,0.393,174.0,479.0,0.363,159.0,368.0,0.432,0.496,146.0,179.0,0.816,18.0,241.0,259.0,210.0,77.0,15.0,102.0,161.0,986.0,0.0,,2017,2016-17
80.0,D'Angelo Russell,20.0,LAL,PG,63.0,60.0,1811.0,351.0,867.0,0.405,135.0,384.0,0.352,216.0,483.0,0.447,0.483,147.0,188.0,0.782,31.0,190.0,221.0,303.0,87.0,16.0,176.0,130.0,984.0,0.0,,2017,2016-17
81.0,Ryan Anderson,28.0,HOU,PF,72.0,72.0,2116.0,323.0,773.0,0.418,204.0,506.0,0.403,119.0,267.0,0.446,0.55,129.0,150.0,0.86,112.0,218.0,330.0,68.0,31.0,14.0,55.0,142.0,979.0,0.0,,2017,2016-17
82.0,James Johnson,29.0,MIA,PF,76.0,5.0,2085.0,368.0,769.0,0.479,87.0,256.0,0.34,281.0,513.0,0.548,0.535,152.0,215.0,0.707,66.0,310.0,376.0,276.0,76.0,86.0,171.0,197.0,975.0,0.0,6MOY-5,2017,2016-17
83.0,Julius Randle,22.0,LAL,PF,74.0,73.0,2132.0,377.0,773.0,0.488,17.0,63.0,0.27,360.0,710.0,0.507,0.499,204.0,282.0,0.723,150.0,486.0,636.0,264.0,49.0,37.0,173.0,248.0,975.0,3.0,,2017,2016-17
84.0,Jonas Valančiūnas,24.0,TOR,C,80.0,80.0,2066.0,391.0,702.0,0.557,1.0,2.0,0.5,390.0,700.0,0.557,0.558,176.0,217.0,0.811,226.0,533.0,759.0,57.0,37.0,63.0,106.0,216.0,959.0,0.0,,2017,2016-17
85.0,Al Horford,30.0,BOS,C,68.0,68.0,2193.0,379.0,801.0,0.473,86.0,242.0,0.355,293.0,559.0,0.524,0.527,108.0,135.0,0.8,95.0,370.0,465.0,337.0,52.0,86.0,115.0,138.0,952.0,0.0,,2017,2016-17
