Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,season_end_year,season
1.0,Russell Westbrook,28.0,OKC,PG,81.0,81.0,2802.0,824.0,1941.0,0.425,200.0,583.0,0.343,624.0,1358.0,0.459,0.476,710.0,840.0,0.845,137.0,727.0,864.0,840.0,132.0,31.0,438.0,190.0,2558.0,42.0,"MVP-1,AS,NBA1",2017,2016-17
2.0,James Harden,27.0,HOU,PG,81.0,81.0,2947.0,674.0,1533.0,0.44,262.0,756.0,0.347,412.0,777.0,0.53,0.525,746.0,881.0,0.847,95.0,564.0,659.0,907.0,121.0,38.0,464.0,215.0,2356.0,22.0,"MVP-2,AS,NBA1",2017,2016-17
3.0,Isaiah Thomas,27.0,BOS,PG,76.0,76.0,2569.0,682.0,1473.0,0.463,245.0,646.0,0.379,437.0,827.0,0.528,0.546,590.0,649.0,0.909,43.0,162.0,205.0,448.0,70.0,13.0,210.0,167.0,2199.0,0.0,"MVP-5,AS,NBA2",2017,2016-17
4.0,Anthony Davis,23.0,NOP,C,75.0,75.0,2708.0,770.0,1526.0,0.505,40.0,134.0,0.299,730.0,1392.0,0.524,0.518,519.0,647.0,0.802,172.0,712.0,884.0,157.0,94.0,167.0,181.0,168.0,2099.0,0.0,"MVP-9,AS,NBA1,DEF2",2017,2016-17
5.0,Karl-Anthony Towns,21.0,MIN,C,82.0,82.0,3030.0,802.0,1480.0,0.542,101.0,275.0,0.367,701.0,1205.0,0.582,0.576,356.0,428.0,0.832,296.0,711.0,1007.0,220.0,56.0,103.0,212.0,241.0,2061.0,1.0,,2017,2016-17
6.0,Damian Lillard,26.0,POR,PG,75.0,75.0,2694.0,661.0,1488.0,0.444,214.0,579.0,0.37,447.0,909.0,0.492,0.516,488.0,545.0,0.895,46.0,322.0,368.0,440.0,68.0,20.0,197.0,152.0,2024.0,0.0,,2017,2016-17
7.0,DeMar DeRozan,27.0,TOR,SG,74.0,74.0,2620.0,721.0,1545.0,0.467,33.0,124.0,0.266,688.0,1421.0,0.484,0.477,545.0,647.0,0.842,70.0,316.0,386.0,290.0,78.0,13.0,180.0,134.0,2020.0,0.0,"MVP-11,AS,NBA3",2017,2016-17
8.0,Stephen Curry,28.0,GSW,PG,79.0,79.0,2638.0,675.0,1443.0,0.468,324.0,789.0,0.411,351.0,654.0,0.537,0.58,325.0,362.0,0.898,61.0,292.0,353.0,524.0,142.0,17.0,239.0,183.0,1999.0,0.0,"MVP-6,AS,NBA2",2017,2016-17
9.0,LeBron James,32.0,CLE,SF,74.0,74.0,2794.0,736.0,1344.0,0.548,124.0,342.0,0.363,612.0,1002.0,0.611,0.594,358.0,531.0,0.674,97.0,542.0,639.0,646.0,92.0,44.0,303.0,134.0,1954.0,13.0,"MVP-4,DPOY-5,AS,NBA1",2017,2016-17
10.0,DeMarcus Cousins,26.0,2TM,C,72.0,72.0,2465.0,647.0,1432.0,0.452,131.0,363.0,0.361,516.0,1069.0,0.483,0.498,517.0,670.0,0.772,152.0,642.0,794.0,332.0,100.0,93.0,269.0,278.0,1942.0,2.0,AS,2017,2016-17
10.0,DeMarcus Cousins,26.0,SAC,C,55.0,55.0,1891.0,505.0,1118.0,0.452,95.0,267.0,0.356,410.0,851.0,0.482,0.494,423.0,549.0,0.77,115.0,468.0,583.0,266.0,75.0,74.0,207.0,203.0,1528.0,2.0,,2017,2016-17
10.0,DeMarcus Cousins,26.0,NOP,C,17.0,17.0,574.0,142.0,314.0,0.452,36.0,96.0,0.375,106.0,218.0,0.486,0.51,94.0,121.0,0.777,37.0,174.0,211.0,66.0,25.0,19.0,62.0,75.0,414.0,0.0,,2017,2016-17
11.0,Andrew Wiggins,21.0,MIN,SF,82.0,82.0,3048.0,709.0,1570.0,0.452,103.0,289.0,0.356,606.0,1281.0,0.473,0.484,412.0,542.0,0.76,102.0,226.0,328.0,189.0,82.0,30.0,187.0,183.0,1933.0,0.0,,2017,2016-17
12.0,Kawhi Leonard,25.0,SAS,SF,74.0,74.0,2474.0,636.0,1312.0,0.485,147.0,387.0,0.38,489.0,925.0,0.529,0.541,469.0,533.0,0.88,80.0,350.0,430.0,260.0,133.0,55.0,154.0,122.0,1888.0,0.0,"MVP-3,DPOY-3,AS,NBA1,DEF1",2017,2016-17
13.0,CJ McCollum,25.0,POR,SG,80.0,80.0,2796.0,692.0,1441.0,0.48,185.0,439.0,0.421,507.0,1002.0,0.506,0.544,268.0,294.0,0.912,60.0,229.0,289.0,285.0,72.0,42.0,172.0,202.0,1837.0,0.0,,2017,2016-17
