Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Oklahoma City Thunder (1),13,1,0.929,—,121.6,106.2,11.12,West,2026,2025-26
Denver Nuggets (2),10,2,0.833,2.0,124.4,111.3,10.8,West,2026,2025-26
Houston Rockets (3),9,3,0.75,3.0,124.8,113.3,10.96,West,2026,2025-26
Los Angeles Lakers (4),10,4,0.714,3.0,116.3,114.4,2.08,West,2026,2025-26
San Antonio Spurs (5),9,4,0.692,3.5,118.8,112.1,5.04,West,2026,2025-26
Minnesota Timberwolves (6),8,5,0.615,4.5,120.7,115.8,3.31,West,2026,2025-26
Golden State Warriors (7),9,6,0.6,4.5,115.7,114.0,0.88,West,2026,2025-26
Phoenix Suns (8),8,6,0.571,5.0,118.8,114.4,0.99,West,2026,2025-26
Portland Trail Blazers (9),6,7,0.462,6.5,121.5,122.2,1.01,West,2026,2025-26
Utah Jazz (10),5,8,0.385,7.5,118.9,123.7,-5.11,West,2026,2025-26
Los Angeles Clippers (11),4,9,0.308,8.5,112.0,116.8,-3.59,West,2026,2025-26
Memphis Grizzlies (12),4,10,0.286,9.0,111.9,119.8,-6.25,West,2026,2025-26
Dallas Mavericks (13),4,10,0.286,9.0,111.3,117.0,-7.79,West,2026,2025-26
Sacramento Kings (14),3,11,0.214,10.0,112.9,124.4,-7.29,West,2026,2025-26
New Orleans Pelicans (15),2,11,0.154,10.5,108.2,121.5,-11.78,West,2026,2025-26
