Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,season_end_year,season
1.0,Shai Gilgeous-Alexander,27.0,OKC,PG,14.0,14.0,470.0,156.0,294.0,0.531,31.0,83.0,0.373,125.0,211.0,0.592,0.583,113.0,126.0,0.897,5.0,66.0,71.0,93.0,19.0,13.0,23.0,25.0,456.0,0.0,,2026,2025-26
2.0,Devin Booker,29.0,PHO,SG,14.0,14.0,501.0,137.0,277.0,0.495,28.0,82.0,0.341,109.0,195.0,0.559,0.545,96.0,107.0,0.897,15.0,42.0,57.0,98.0,11.0,4.0,56.0,40.0,398.0,0.0,,2026,2025-26
3.0,Lauri Markkanen,28.0,UTA,PF,13.0,13.0,470.0,134.0,280.0,0.479,49.0,126.0,0.389,85.0,154.0,0.552,0.566,81.0,92.0,0.88,30.0,50.0,80.0,27.0,12.0,7.0,18.0,25.0,398.0,0.0,,2026,2025-26
4.0,Giannis Antetokounmpo,31.0,MIL,PF,12.0,12.0,401.0,150.0,238.0,0.63,9.0,18.0,0.5,141.0,220.0,0.641,0.649,82.0,129.0,0.636,46.0,90.0,136.0,85.0,11.0,15.0,42.0,32.0,391.0,0.0,,2026,2025-26
5.0,Jaylen Brown,29.0,BOS,SF,14.0,14.0,449.0,147.0,291.0,0.505,27.0,79.0,0.342,120.0,212.0,0.566,0.552,63.0,82.0,0.768,13.0,66.0,79.0,57.0,11.0,5.0,45.0,45.0,384.0,0.0,,2026,2025-26
6.0,Tyrese Maxey,25.0,PHI,PG,12.0,12.0,484.0,127.0,280.0,0.454,46.0,110.0,0.418,81.0,170.0,0.476,0.536,84.0,95.0,0.884,4.0,57.0,61.0,94.0,17.0,10.0,30.0,32.0,384.0,0.0,,2026,2025-26
7.0,Donovan Mitchell,29.0,CLE,SG,12.0,12.0,407.0,121.0,243.0,0.498,48.0,126.0,0.381,73.0,117.0,0.624,0.597,75.0,90.0,0.833,9.0,46.0,55.0,65.0,18.0,6.0,40.0,26.0,365.0,0.0,,2026,2025-26
8.0,Luka Dončić,26.0,LAL,PG,10.0,10.0,371.0,106.0,226.0,0.469,36.0,110.0,0.327,70.0,116.0,0.603,0.549,96.0,122.0,0.787,9.0,80.0,89.0,89.0,17.0,6.0,37.0,25.0,344.0,1.0,,2026,2025-26
9.0,Nikola Jokić,30.0,DEN,C,12.0,12.0,410.0,129.0,192.0,0.672,23.0,54.0,0.426,106.0,138.0,0.768,0.732,63.0,72.0,0.875,36.0,120.0,156.0,131.0,22.0,9.0,39.0,33.0,344.0,7.0,,2026,2025-26
10.0,Deni Avdija,25.0,POR,SF,13.0,13.0,443.0,108.0,221.0,0.489,33.0,88.0,0.375,75.0,133.0,0.564,0.563,89.0,103.0,0.864,17.0,68.0,85.0,62.0,7.0,11.0,47.0,48.0,338.0,0.0,,2026,2025-26
